target_id,field,source_value,source_valid,protocol_code,decoded_value,decoded_valid,absolute_error/tolerance,passed
48ea3a,lon,8.0877,True,2191380,8.087698957371487,True,1.04263e-06/8.58307e-05,True
48ea3a,altitude,10972.8,True,11973,10973.0,True,0.2/1,True
48ea3a,speed,229.54,True,2295,229.5,True,0.04/0.1,True
48ea3a,heading,225.45,True,22545,225.45000000000002,True,2.84217e-14/0.01,True
48ea3a,vertical_rate,0.0,True,32768,0.0,True,0/0.01,True
48ea3a,callsign,ENT1511,True,,ENT1511,True,N/A,True
424cbf,lat,46.8991,True,3189979,46.89907953717221,True,2.04628e-05/4.29154e-05,True
424cbf,lon,11.2504,True,2228228,11.250388920399871,True,1.10796e-05/8.58307e-05,True
424cbf,altitude,9883.14,True,10883,9883.0,True,0.14/1,True
424cbf,speed,244.26,True,2443,244.3,True,0.04/0.1,True
424cbf,heading,222.87,True,22287,222.87,True,0/0.01,True
424cbf,vertical_rate,-8.13,True,31955,-8.129999999999995,True,5.32907e-15/0.01,True
424cbf,callsign,MACOR,True,,MACOR,True,N/A,True
a61c53,lat,49.3817,True,3247828,49.38168987791295,True,1.01221e-05/4.29154e-05,True
a61c53,lon,10.8344,True,2223381,10.834367474166726,True,3.25258e-05/8.58307e-05,True
a61c53,altitude,10363.2,True,11363,10363.0,True,0.2/1,True
a61c53,speed,243.21,True,2432,243.20000000000002,True,0.01/0.1,True
a61c53,heading,288.63,True,28863,288.63,True,0/0.01,True
a61c53,vertical_rate,0.0,True,32768,0.0,True,0/0.01,True
a61c53,callsign,THY6091,True,,THY6091,True,N/A,True
8966d5,lat,47.8922,True,3213120,47.892183754964776,True,1.6245e-05/4.29154e-05,True
8966d5,lon,7.5863,True,2185538,7.5862759557428205,True,2.40443e-05/8.58307e-05,True
8966d5,altitude,11277.6,True,12278,11278.0,True,0.4/1,True
8966d5,speed,259.27,True,2593,259.3,True,0.03/0.1,True
8966d5,heading,104.01,True,10401,104.01,True,0/0.01,True
8966d5,vertical_rate,0.0,True,32768,0.0,True,0/0.01,True
8966d5,callsign,ETD2,True,,ETD2,True,N/A,True
4d253b,lat,46.5527,True,3181908,46.552709711244034,True,9.71124e-06/4.29154e-05,True
4d253b,lon,5.7932,True,2164647,5.793186615273129,True,1.33847e-05/8.58307e-05,True
4d253b,altitude,11277.6,True,12278,11278.0,True,0.4/1,True
4d253b,speed,224.65,True,2247,224.70000000000002,True,0.05/0.1,True
4d253b,heading,200.51,True,20051,200.51,True,0/0.01,True
4d253b,vertical_rate,0.0,True,32768,0.0,True,0/0.01,True
4d253b,callsign,EWG40C,True,,EWG40C,True,N/A,True
45b534,lat,48.7181,True,3232365,48.71808975174184,True,1.02483e-05/4.29154e-05,True
45b534,lon,9.474,True,2207532,9.474036568173517,True,3.65682e-05/8.58307e-05,True
45b534,altitude,11582.4,True,12582,11582.0,True,0.4/1,True
45b534,speed,222.93,True,2229,222.9,True,0.03/0.1,True
45b534,heading,302.37,True,30237,302.37,True,0/0.01,True
45b534,vertical_rate,0.0,True,32768,0.0,True,0/0.01,True
45b534,callsign,GAV596,True,,GAV596,True,N/A,True
4d240c,lat,49.244,True,3244620,49.24401742077288,True,1.74208e-05/4.29154e-05,True
4d240c,lon,10.6347,True,2221055,10.634725245171836,True,2.52452e-05/8.58307e-05,True
4d240c,altitude,5189.22,True,6189,5189.0,True,0.22/1,True
4d240c,speed,186.49,True,1865,186.5,True,0.01/0.1,True
4d240c,heading,248.81,True,24881,248.81,True,0/0.01,True
4d240c,vertical_rate,10.08,True,33776,10.079999999999984,True,1.59872e-14/0.01,True
4d240c,callsign,EWG53L,True,,EWG53L,True,N/A,True
ad35c8,lat,45.9506,True,3167878,45.95060728802855,True,7.28803e-06/4.29154e-05,True
ad35c8,lon,11.2781,True,2228551,11.278112239387553,True,1.22394e-05/8.58307e-05,True
ad35c8,altitude,13716.0,True,14716,13716.0,True,0/1,True
ad35c8,speed,255.47,True,2555,255.5,True,0.03/0.1,True
ad35c8,heading,118.11,True,11811,118.11,True,0/0.01,True
ad35c8,vertical_rate,0.0,True,32768,0.0,True,0/0.01,True
ad35c8,callsign,N950MP,True,,N950MP,True,N/A,True
3889ff,lat,45.7174,True,3162444,45.71740525183802,True,5.25184e-06/4.29154e-05,True
3889ff,lon,5.0917,True,2156474,5.091692231104901,True,7.7689e-06/8.58307e-05,True
3889ff,altitude,,False,0,,False,N/A,True
3889ff,speed,5.66,True,57,5.7,True,0.04/0.1,True
3889ff,heading,171.56,True,17156,171.56,True,0/0.01,True
3889ff,vertical_rate,,False,0,,False,N/A,True
3889ff,callsign,LA2,True,,LA2,True,N/A,True
4b17fd,lat,47.4443,True,3202684,47.44431911571482,True,1.91157e-05/4.29154e-05,True
4b17fd,lon,8.5674,True,2196969,8.567406789638227,True,6.78964e-06/8.58307e-05,True
4b17fd,altitude,,False,0,,False,N/A,True
4b17fd,speed,0.26,True,3,0.30000000000000004,True,0.04/0.1,True
4b17fd,heading,244.69,True,24469,244.69,True,0/0.01,True
4b17fd,vertical_rate,,False,0,,False,N/A,True
4b17fd,callsign,SWR7DC,True,,SWR7DC,True,N/A,True
